user,username,timestamp,post,permalink,reposts,likes,impressions,quotes,replies,bookmarks,value,report_file,date,time,relevance,anti RSF,pro RSF,anti SAF,pro SAF,"Pro peace,",anti peace,Pro War,anti war,pro civilian,anti civilians,not specified,no polarisation,Geopolticis,Sudanese,Not Sudanese,Sudanese N/A,Likely bot,Likely not a bot,Cannot be identified.,News,Not about Sudan,Annotation Confidence,code
☬ود نيـالا ☬,@Mo7amedWagi7,2023-04-15 15:29:44,"@OmerElameen2 @drhzagalo لما يكون عندك حكومة وبرلمان يضمن حق الدولة بدون تفريط معليش بس انت ما عندك حكومة وعبفتاح السودان اعطى عبفتاح مصر التحية العسكرية امام العالم كله ليخبره انه رهن اشارته ليضمن بقاءه.
والجيش ما جيش برهان الجيش جيش السودان 🇸🇩 
برهان مالو ؟ برهان وسخان 
الجابو منو ؟ جابوه الكيزان",https://www.twitter.com/user/status/1647260928231055360,0,1,310,0,0,0,0.03,Report 1-1,2023-04-15,15:29:44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1647260928231055360
عربي21,@Arabi21News,2023-08-28 20:02:00,"الخارجية السودانية توضح لـ""عربي21"" حقيقة زيارة البرهان لمصر والسعودية والإمارات.
#عربي21 
https://t.co/RUYf5yPA8E",https://www.twitter.com/user/status/1696251807083758021,1,5,3402,1,1,0,3115.19,Report 3-2,2023-08-28,20:02:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10.0,1696251807083758021
تحالف عاصفة الحزم,@AaSsiFfah2015,2023-04-15 22:52:29,"#السودان 
نشرة المستشفيات:
الحرب حتى الآن تسببت بقتل
25 قتيل .وإصابة 183 .

هذا الانزلاق من الدعم السريع
أذا لم يجعلهم الجيش السوداني
من الماضي فيجب طرد البرهان
لأنه تهاون منذو البداية ؟؟",https://www.twitter.com/user/status/1647372349585358848,0,1,472,0,0,0,15.58,Report 1-3,2023-04-15,22:52:29,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,8.0,1647372349585358848
H_Lamami,@HLamami2,2023-04-15 13:36:46,"■اذا رايت الاخوان يحبون حميدتي ويطبلون له
فاعلم انه فكره مناسب للخوارج...

قطر تدعم إشعال حرب في السودان لمصلحة المخابرات الأمريكية.. فعن اي تقارب عربي يتحدثون مع قطر 

#حميد_العمامي https://t.co/9ggrEL7Ah2",https://www.twitter.com/user/status/1647232497238028289,0,0,72,0,0,0,4.04,Report 1-2,2023-04-15,13:36:46,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,8.0,1647232497238028289
وفاء علي,@eali_wafa15327,2023-08-29 12:17:05,@taherabdulwhab @Mohmd_Elsiddig @saramubael م بيثبتو عشان هم حلفاء ومعاونين بالوقوف معهم. لابارك الله في اي مرتزق من الوضع وحسبنا الله ونعم الوكيل ف كل الدعم السريع ومن يقف معه ويسانده ويعاونه ويحارب معه وعند الله سوف تلتقي الخصوم وحتما سنلتقي وماربك بظلام للعبيد,https://www.twitter.com/user/status/1696497195434881292,0,4,30,0,1,0,0.05,Report 3-1,2023-08-29,12:17:05,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1696497195434881292
الشرق للأخبار - السودان,@AsharqNewsSUD,2023-08-29 09:18:13,"الرئيس المصري يستقبل البرهان في مطار العلمين لمناقشة الأوضاع في السودان، التفاصيل مع مراسلنا من القاهرة محمد الخولي

#الشرق_السودان https://t.co/mU4AQyBP8a",https://www.twitter.com/user/status/1696452180549472313,1,4,1189,0,0,0,200.79,Report 3-2,2023-08-29,09:18:13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10.0,1696452180549472313
عقبة,@ogba_Mu164,2023-06-27 20:23:40,بالله عليك شوف الوساخة الواقعين فيها نحن، إشادة بحميدتي ونشوف هل الجيش ماسك زمام الأمور أم لأ https://t.co/uzILuJN61t,https://www.twitter.com/user/status/1673789211151933442,0,0,87,0,0,0,0.39,Report 2-2,2023-06-27,20:23:40,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.0,1673789211151933442
Abrar,@abraarr_khalil,2023-04-15 13:40:56,"حميدتي يقول ""يختي هم الضربونا نضربهم بي بسكويت يعني ولا بي تفاح ما أكيد حنضربهم بذخيرة""
 والجيش يطلع يقول الدعم السريع هو البدا وهم اصلا من زمان دي نيتهم
مهزلة!",https://www.twitter.com/user/status/1647233547890053120,0,0,354,0,1,0,1.34,Report 1-2,2023-04-15,13:40:56,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.0,1647233547890053120
Fadlalazabe,@fadlalazabe,2023-04-15 16:05:46,وصف القوات المشاركة في المناورات على أنها قوات مقاتله واسرها وتصويرها بهذا شكل و تصوير الطائرات بأنها غنيمة هذا عبث من الدعم السريع... هؤلاء جنود في جيش المصري مش مرتزقة,https://www.twitter.com/user/status/1647269996622495744,0,0,57,0,0,0,0.14,Report 1-1,2023-04-15,16:05:46,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,8.0,1647269996622495744
🌸🌸🌸🌸,@NL_sn41,2023-06-30 10:59:14,@AllaHuzyfa امبارح خالد سلك قال البرهان لما الاحزاب و قال ليهم حميدتي عايز يعمل حرب و رفضو يقيفو معاهو ..ديل شياطين بيستلذو بالدم في رمضان في الشهور الحرم ديل ما بشر طبيعين و لا ناس اخلاق و لا هاميهم لا بلد و لا مواطن ناس جايه تدمر بس,https://www.twitter.com/user/status/1674734332588572674,0,0,167,0,1,0,0.18,Report 2-3,2023-06-30,10:59:14,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.0,1674734332588572674
